"Coach" "start_year"
"777" "jim-harkema-1" 1983
"455" "dudley-degroot-1" 1948
"1837" "tiny-thornhill-1" 1933
"494" "dave-doeren-1" 2011
"488" "robert-dobbs-1" 1955
"1007" "billy-kinard-1" 1971
"1644" "ben-schwartzwalder-1" 1949
"239" "jim-caldwell-1" 1993
"507" "bill-dooley-1" 1967
"1124" "sonny-lubick-1" 1993
"487" "glenn-dobbs-1" 1961
"1080" "frank-leahy-1" 1939
"1762" "rick-stockstill-1" 2006
"1332" "jack-murphy-1" 1971
"1661" "buck-shaw-1" 1937
"392" "mario-cristobal-1" 2007
"1120" "jim-lookabaugh-1" 1939
"1675" "bo-sherman-1" 1952
"738" "arthur-guepe-1" 1946
"1334" "bill-murray-1" 1951
"603" "larry-fedora-1" 2008
"483" "paul-dietzel-1" 1955
"1241" "david-mcwilliams-1" 1986
"555" "rich-ellerson-1" 2009
"703" "ray-goff-1" 1989
"549" "earle-edwards-1" 1954
"1385" "mike-ocain-1" 1993
"520" "red-drew-1" 1924
"1758" "lon-stiner-1" 1933
"15" "william-alexander-1" 1920
"946" "bobby-johnson-2" 2002
"1939" "charlie-weatherbie-1" 1992
"1983" "bobby-williams-2" 1999
"655" "henry-frnka-1" 1941
"1955" "tommy-west-1" 1993
"815" "michael-haywood-1" 2009
"1849" "bob-toledo-1" 1979
"954" "paul-johnson-1" 2002
"544" "lloyd-eaton-1" 1962
"1298" "bernie-moore-1" 1935
"966" "pat-jones-1" 1984
"167" "terry-bowden-1" 1993
"304" "dave-christensen-1" 2009
"1042" "steve-kragthorpe-1" 2003
"1869" "ron-turner-1" 1992
"895" "mark-hudspeth-1" 2011
"1107" "lou-little-1" 1927
"976" "al-kawal-1" 1947
"1329" "billy-murphy-1" 1960
"1402" "jordan-olivar-1" 1943
"1303" "charley-moran-1" 1909
"913" "harvey-hyde-1" 1982
"689" "claude-gilbert-1" 1973
"1665" "terry-shea-1" 1990
"48" "ike-armstrong-1" 1925
"422" "jack-curtice-1" 1941
"624" "robert-fisher-1" 1919
"1697" "andy-smith-1" 1913
"1659" "clark-shaughnessy-1" 1915
"846" "jess-hill-1" 1951
"1925" "murray-warmath-1" 1952
"1243" "jack-meagher-1" 1929
"1218" "allyn-mckeen-1" 1939
"774" "jack-harding-1" 1937
"885" "jeff-horton-1" 1993
"571" "dan-enos-1" 2010
"108" "alex-bell-1" 1960
"1345" "ray-nagel-1" 1958
"1146" "gus-malzahn-1" 2012
"1909" "dc-walker-1" 1937
"1336" "will-muschamp-1" 2011
"31" "gary-andersen-1" 2009
"1025" "jimmy-kitts-1" 1934
"109" "madison-bell-1" 1929
"773" "wayne-hardin-1" 1959
"1453" "bill-peterson-1" 1960
"652" "hugh-freeze-1" 2011
"1705" "john-smith-2" 1995
"496" "jack-doland-1" 1975
"1187" "dave-mcclain-1" 1975
"757" "curley-hallman-1" 1988
"1506" "david-rader-1" 1988
"271" "bud-carson-1" 1967
"888" "frank-howard-1" 1940
"508" "derek-dooley-1" 2007
"1133" "mike-macintyre-1" 2010
"1145" "frank-maloney-1" 1974
"590" "steve-fairchild-1" 2008
"1139" "slip-madigan-1" 1930
"960" "frank-jones-1" 1966
"741" "andy-gustafson-1" 1926
"104" "tim-beckman-1" 2009
"53" "chris-ault-1" 1992
"1289" "jack-mollenkopf-1" 1956
"1852" "ted-tollner-1" 1983
"1568" "knute-rockne-1" 1918
"369" "tom-coughlin-1" 1991
"1328" "biggie-munn-1" 1946
"214" "mike-brumbelow-1" 1950
"417" "fran-curci-1" 1971
"600" "gerry-faust-1" 1981
"838" "james-hickey-1" 1959
"713" "mike-gottfried-1" 1981
"1719" "mark-snyder-1" 2005
"153" "bill-blankenship-1" 2011
"1096" "bill-lewis-1" 1977
"179" "gregg-brandon-1" 2003
"1949" "charlie-weis-1" 2005
"1921" "dallas-ward-1" 1948
"1116" "rocky-long-1" 1998
"661" "bill-fulcher-1" 1972
"1662" "david-shaw-1" 2011
"1406" "bennie-oosterbaan-1" 1948
"926" "jeff-jagodzinski-1" 2007
"1062" "maxie-lambright-1" 1975
"1283" "rick-minter-1" 1994
"1855" "carl-torbush-1" 1997
"83" "willis-barnes-1" 1942
"46" "mike-archer-1" 1987
"1896" "robert-voigts-1" 1947
"754" "galen-hall-1" 1984
"376" "ted-cox-1" 1932
"1792" "jock-sutherland-1" 1919
"475" "darrell-dickey-1" 1998
"1726" "cliff-speegle-1" 1955
"437" "duffy-daugherty-1" 1954
"1810" "charlie-tate-1" 1964
"1760" "chuck-stobart-1" 1977
"513" "karl-dorrell-1" 2003
"1846" "jeff-tisdel-1" 1996
"878" "danny-hope-1" 2009
"1645" "brad-scott-1" 1994
"614" "wesley-fesler-1" 1946
"700" "joe-glenn-1" 2003
"701" "marshall-glenn-1" 1937
"992" "joe-kerbel-1" 1960
"11" "robb-akey-1" 2007
"364" "lee-corso-1" 1969
"1871" "bob-tyler-1" 1973
"407" "jimmy-crowley-1" 1929
"1540" "paul-rhoads-1" 2009
"1156" "abe-martin-1" 1953
"1926" "pop-warner-1" 1897
"279" "miles-casteel-1" 1939
"1010" "dewayne-king-1" 1970
"827" "gwinn-henry-1" 1923
"692" "turner-gill-1" 2006
"1668" "joseph-sheeketski-1" 1939
"224" "frank-burns-1" 1973
"1825" "roger-theder-1" 1978
"1128" "al-luginbill-1" 1989
"523" "bill-driver-1" 1920
"1863" "jim-trimble-1" 1948
"1331" "gene-murphy-1" 1980
"1692" "dan-simrell-1" 1982
"1588" "tim-rose-1" 1983
"1288" "al-molde-1" 1987
"464" "herb-deromedi-1" 1978
"554" "bennie-ellender-1" 1971
"1900" "jim-wacker-1" 1983
"1425" "jack-pardee-1" 1987
"724" "dennis-green-1" 1981
"1151" "steve-mariucci-1" 1996
"1764" "cal-stoll-1" 1969
"1132" "george-macintyre-1" 1979
"1679" "ted-shipkey-1" 1931
"892" "cac-hubbard-1" 1939
"1150" "bob-margarita-1" 1949
"971" "ernie-jorge-1" 1951
"1378" "thomas-nugent-1" 1949
"98" "sammy-baugh-1" 1955
"1286" "odus-mitchell-1" 1953
"636" "hank-foldberg-1" 1960
"1323" "darrell-mudra-1" 1967
"1299" "bud-moore-1" 1975
"745" "paul-hackett-1" 1989
"994" "william-kern-1" 1937
"449" "red-dawson-1" 1936
"1844" "gaynell-tinsley-1" 1948
"1095" "art-lewis-1" 1946
"633" "kyle-flood-1" 2012
"905" "shy-huntington-1" 1918
"1977" "john-wilce-1" 1913
"130" "hugo-bezdek-1" 1908
"61" "enoch-bagshaw-1" 1921
"1493" "nibs-price-1" 1926
"864" "oe-hollingbery-1" 1926
"137" "bernie-bierman-1" 1925
"1460" "james-phelan-1" 1920
"958" "biff-jones-1" 1926
"884" "babe-horrell-1" 1939
"1056" "bert-labrucherie-1" 1945
"1908" "pappy-waldorf-1" 1929
"1813" "chuck-taylor-1" 1951
"1989" "ivy-williamson-1" 1949
"1613" "red-sanders-1" 1940
"82" "bill-barnes-1" 1958
"213" "milt-bruhn-1" 1956
"542" "sonny-dykes-1" 2010
"706" "fred-goldsmith-1" 1989
"56" "charlie-bachman-1" 1919
"1753" "tom-stidham-1" 1937
"749" "jack-hagerty-1" 1932
"1340" "denny-myers-1" 1941
"429" "john-dagrosa-1" 1945
"698" "william-glassford-1" 1949
"719" "everett-grandelius-1" 1959
"1773" "jerry-stovall-1" 1980
"1557" "steve-roberts-1" 2002
"1236" "ruffin-mcneill-1" 2009
"527" "mike-dubose-1" 1997
"1326" "hal-mumme-1" 1997
"704" "al-golden-1" 2006
"1235" "ruffin-mcneil-1" 2010
"1494" "ron-prince-1" 2006
"1641" "paul-schudel-1" 1985
"635" "dick-flynn-1" 1994
"194" "jd-brookhart-1" 2004
"411" "bill-cubit-1" 2005
"1804" "willie-taggart-1" 2010
"365" "gene-corum-1" 1960
"592" "don-fambrough-1" 1971
"49" "bill-arnsparger-1" 1984
"742" "john-gutekunst-1" 1985
"823" "kim-helton-1" 1993
"408" "gary-crowton-1" 1996
"1258" "ron-meyer-1" 1976
"1906" "jim-walden-1" 1978
"1765" "dennis-stolz-1" 1973
"1302" "jim-mora-1" 2012
"209" "watson-brown-1" 1983
"1227" "greg-mcmackin-1" 2008
"465" "tim-deruyter-1" 2011
"817" "darrell-hazell-1" 2011
"1229" "johnnie-mcmillan-1" 1945
"602" "beattie-feathers-1" 1944
"599" "don-faurot-1" 1935
"78" "george-barclay-1" 1908
"197" "john-brothers-1" 1946
"1621" "george-sauer-1" 1946
"1264" "john-michelosen-1" 1955
"961" "gomer-jones-1" 1964
"1013" "j-king-1" 1961
"563" "jack-elway-1" 1979
"1309" "joe-morrison-1" 1973
"618" "luke-fickell-1" 2011
"1656" "randy-shannon-1" 2007
"1724" "frank-spaziani-1" 2006
"965" "larry-jones-1" 1971
"1166" "tony-mason-1" 1973
"1372" "gary-nord-1" 2000
"135" "jack-bicknell-2" 1999
"320" "dave-clawson-1" 2009
"253" "matt-campbell-1" 2011
"1335" "frank-murray-1" 1927
"1392" "bunny-oakes-1" 1931
"286" "pete-cawthon-1" 1932
"1691" "chauncey-simpson-1" 1943
"9" "jim-aiken-1" 1946
"1715" "carl-snavely-1" 1930
"1157" "ben-martin-2" 1956
"601" "foge-fazio-1" 1982
"1572" "pepper-rodgers-1" 1967
"227" "leon-burtnett-1" 1982
"1964" "mike-white-1" 1972
"1002" "lane-kiffin-1" 2009
"1114" "mike-london-1" 2010
"1482" "john-pont-1" 1962
"834" "bill-hess-1" 1962
"1704" "homer-smith-1" 1965
"1695" "steve-sloan-1" 1973
"1553" "paul-roach-1" 1987
"1130" "bill-lynch-2" 1995
"183" "tim-brewster-1" 2007
"1086" "pete-lembo-1" 2011
"1462" "joker-phillips-1" 2010
"306" "paul-chryst-1" 2012
"1523" "chuck-reedy-1" 1993
"1687" "bob-simmons-2" 1995
"1913" "randy-walker-1" 1990
"526" "f-dry-1" 1972
"686" "vince-gibson-1" 1967
"536" "ernie-duplechin-1" 1979
"477" "jim-dickey-1" 1978
"1785" "bob-stull-1" 1986
"404" "jack-crowe-1" 1990
"1787" "pat-sullivan-1" 1992
"1794" "bob-sutton-1" 1991
"440" "bob-davie-1" 1997
"2007" "everett-withers-1" 2011
"125" "todd-berry-1" 2000
