"Coach" "start_year"
"1860" "bobby-laughlin-1" 1956
"819" "ea-diddle-1" 1923
"1853" "steve-lappas-1" 1989
"304" "bob-boyd-1" 1964
"2476" "josh-pastner-1" 2010
"1312" "frank-haith-1" 2005
"959" "brian-ellerbe-1" 1995
"698" "jim-crews-1" 1986
"1927" "tates-locke-1" 1964
"1156" "dick-garibaldi-1" 1963
"1288" "marcel-guley-1" 1951
"1128" "jack-friel-1" 1929
"3327" "james-weaver-1" 1956
"1480" "tony-hinkle-1" 1927
"2641" "hank-raymonds-1" 1978
"2636" "george-raveling-1" 1973
"2233" "fang-mitchell-1" 1972
"152" "tony-barone-1" 1986
"494" "doc-carlson-1" 1923
"1201" "hc-gilstrap-1" 1943
"2180" "louis-menze-1" 1929
"1831" "eugene-lambert-1" 1943
"2224" "bud-millikan-1" 1951
"1650" "phil-johnson-2" 1999
"1651" "phil-johnson-2" 1969
"3257" "gene-visscher-1" 1972
"2843" "charlie-schmaus-1" 1977
"2499" "john-pelphrey-1" 2003
"2597" "steve-prohm-1" 2012
"753" "chick-davies-1" 1925
"3176" "robert-timmons-1" 1954
"990" "anthony-evans-2" 2008
"4791" "jeff-capel-2" 1994
"4801" "jeff-capel-2" 2003
"1250" "jack-gray-1" 1937
"2764" "glen-rose-1" 1934
"2915" "richard-shrider-1" 1958
"1252" "john-grayson-1" 1959
"854" "edward-donovan-1" 1954
"481" "cappy-cappon-1" 1932
"1184" "eugene-gibson-1" 1962
"2749" "jack-rohan-1" 1962
"2777" "dee-rowe-1" 1970
"3258" "dick-vitale-1" 1974
"2729" "les-robinson-1" 1975
"2274" "speedy-morris-1" 1987
"497" "bill-carmody-1" 1997
"310" "tad-boyle-1" 2008
"1417" "darrell-hedric-1" 1971
"2259" "dudey-moore-1" 1949
"2012" "red-manning-1" 1959
"1487" "karl-hobbs-1" 2002
"2756" "dick-romney-1" 1920
"37" "eck-allen-1" 1939
"1843" "bill-lange-1" 1940
"2225" "douglas-mills-1" 1937
"1869" "john-lawther-1" 1927
"940" "hec-edmundson-1" 1917
"894" "al-duer-1" 1944
"946" "george-edwards-1" 1927
"596" "josh-cody-1" 1924
"1935" "john-long-3" 1944
"3307" "john-warren-1" 1945
"3011" "floyd-stahl-1" 1944
"2142" "arthur-mclarney-1" 1948
"2700" "gordon-ridings-1" 1947
"1074" "john-floyd-3" 1951
"979" "fred-enke-1" 1924
"2078" "george-mccarty-1" 1951
"256" "tom-blackburn-1" 1948
"2867" "bill-scott-1" 1952
"1253" "murray-greason-1" 1934
"732" "howard-dallmar-1" 1949
"3086" "don-suman-1" 1950
"1264" "royner-greene-1" 1947
"438" "jerry-bush-1" 1948
"110" "john-bach-1" 1950
"1587" "clarence-iba-1" 1950
"2469" "doyle-parrack-1" 1951
"2210" "gus-miller-1" 1943
"2474" "alden-pasche-1" 1951
"2713" "jule-rivlin-1" 1956
"350" "albert-brightman-1" 1953
"1882" "roy-leenig-1" 1956
"2064" "jim-mccafferty-1" 1955
"2750" "bill-rohr-1" 1952
"748" "george-davidson-2" 1956
"749" "george-davidson-2" 1915
"2029" "don-martin-1" 1954
"326" "buster-brannon-1" 1939
"2059" "paul-mcbrayer-1" 1948
"101" "presley-askew-1" 1950
"1000" "john-evans-2" 1960
"1001" "john-evans-2" 1902
"1315" "bruce-hale-1" 1955
"855" "william-donovan-1" 1953
"2734" "polk-robison-1" 1943
"2063" "james-mccafferty-1" 1958
"1851" "joe-lapchick-1" 1937
"2669" "william-reinhart-2" 1924
"869" "duck-dowell-1" 1956
"2993" "bob-spear-1" 1958
"456" "bob-calihan-1" 1949
"3239" "joseph-vancisin-1" 1957
"533" "vincent-cazzetta-1" 1959
"2073" "babe-mccarthy-1" 1956
"3386" "george-wigton-1" 1963
"2220" "weenie-miller-1" 1958
"113" "jim-baechtold-1" 1962
"952" "john-egli-1" 1955
"122" "tay-baker-1" 1966
"461" "ernest-calverley-1" 1958
"3068" "bill-strannigan-1" 1951
"2603" "lionel-purcell-1" 1966
"3318" "lou-watson-1" 1966
"3312" "bucky-waters-1" 1966
"1763" "bob-king-1" 1963
"2291" "dick-motta-1" 1964
"887" "john-dromo-1" 1968
"1056" "bill-fitch-1" 1968
"1349" "jim-harding-1" 1958
"411" "morris-buckwalter-1" 1968
"1961" "cal-luther-1" 1959
"1062" "cotton-fitzsimmons-1" 1969
"1786" "don-knodel-1" 1967
"2738" "red-rocha-1" 1971
"3074" "guy-strong-1" 1968
"2612" "tom-quinn-1" 1967
"3309" "tom-wasdin-1" 1971
"2306" "frank-mulzoff-1" 1971
"2204" "bob-miller-2" 1971
"2139" "jack-mckinney-1" 1967
"635" "bus-connor-1" 1974
"3490" "wayne-yates-1" 1975
"3251" "tim-vezie-1" 1975
"2211" "harry-miller-1" 1971
"1667" "dwight-jones-4" 1975
"922" "jimmy-earle-1" 1970
"2166" "ray-mears-1" 1963
"568" "john-cinicola-1" 1975
"1136" "roger-gaeckler-1" 1973
"2816" "jim-satalin-1" 1974
"199" "dutch-belnap-1" 1974
"1403" "ken-hayes-1" 1969
"443" "ed-byhre-1" 1977
"2504" "dom-perno-1" 1978
"518" "don-casey-1" 1974
"1607" "ron-jacobs-1" 1980
"226" "bill-berry-1" 1980
"1502" "eddie-holbrook-1" 1979
"3420" "ab-williamson-1" 1976
"3041" "carl-stewart-1" 1978
"3493" "steve-yoder-1" 1978
"80" "tom-apke-1" 1975
"1921" "paul-lizzo-1" 1976
"3294" "dick-walters-1" 1979
"2114" "john-mcdougal-1" 1977
"157" "peter-barry-1" 1981
"1014" "larry-farmer-1" 1982
"1344" "paul-hansen-1" 1974
"984" "lefty-ervin-1" 1980
"8" "dick-acres-1" 1983
"2036" "wayne-martin-1" 1979
"43" "sonny-allen-1" 1950
"1139" "smokey-gaines-1" 1978
"1531" "robert-hopkins-1" 1985
"1916" "craig-littlepage-1" 1983
"240" "bill-bibb-1" 1975
"3329" "paul-webb-1" 1977
"422" "eddie-burke-1" 1978
"84" "lynn-archibald-1" 1978
"3021" "stu-starner-1" 1984
"1135" "matt-furjanic-1" 1980
"364" "al-brown-1" 1983
"1590" "moe-iba-1" 1967
"1579" "bobby-hussey-1" 1982
"2495" "jerry-peirson-1" 1985
"567" "mike-cingiser-1" 1982
"3398" "carroll-williams-1" 1971
"1988" "dave-magarity-1" 1979
"297" "jim-boutin-1" 1986
"951" "hank-egan-1" 1972
"416" "mitch-buonaguro-1" 1986
"1549" "rick-huckabay-1" 1984
"1447" "pete-herrmann-1" 1987
"2850" "tom-schneider-1" 1984
"1141" "jimmy-gales-1" 1987
"792" "mike-dement-1" 1987
"428" "ken-burmeister-1" 1987
"26" "stan-albeck-1" 1969
"3205" "rod-tueller-1" 1980
"1588" "gene-iba-1" 1978
"658" "don-corbett-1" 1980
"2351" "ernie-nestor-1" 1989
"2333" "lynn-nance-1" 1977
"3471" "charles-woollum-1" 1976
"3341" "steve-welch-1" 1988
"1027" "george-felton-1" 1987
"765" "kermit-davis-1" 1971
"766" "kermit-davis-1" 1989
"67" "jim-anderson-1" 1990
